listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
1,0,Brooklyn,4,225.0,5.0
2,0,Queens,2,80.0,4.86
3,0,Brooklyn,4,71.0,5.0
4,0,Brooklyn,2,71.0,4.15
5,1,Brooklyn,2,120.0,4.88
6,0,Brooklyn,4,155.0,4.89
7,1,Queens,1,62.0,4.96
8,1,Brooklyn,6,752.0,5.0
9,1,Queens,2,130.0,5.0
10,1,Brooklyn,6,350.0,4.82
11,1,Queens,2,186.0,4.99
12,0,Manhattan,1,69.0,5.0
13,0,Queens,2,135.0,4.56
14,1,Manhattan,4,1028.0,4.85
15,0,Brooklyn,2,42.0,5.0
16,1,Manhattan,2,158.0,4.65
17,0,Manhattan,2,211.0,4.71
18,0,Manhattan,3,434.0,4.94
19,0,Brooklyn,2,279.0,5.0
20,1,Queens,2,109.0,5.0
21,1,Manhattan,6,225.0,4.67
22,0,Bronx,2,55.0,4.83
23,0,Queens,2,79.0,5.0
24,0,Brooklyn,2,60.0,4.73
25,1,Queens,2,150.0,5.0
26,1,Manhattan,2,339.0,5.0
27,1,Brooklyn,2,60.0,4.66
28,0,Brooklyn,2,37.0,4.57
29,1,Brooklyn,1,53.0,4.23
30,0,Queens,1,90.0,4.81
31,1,Brooklyn,4,221.0,4.5
32,1,Brooklyn,1,60.0,4.91
33,1,Brooklyn,1,55.0,5.0
34,0,Brooklyn,5,214.0,4.18
35,0,Brooklyn,2,61.0,4.68
36,1,Brooklyn,5,125.0,4.75
37,1,Queens,4,185.0,4.83
38,0,Manhattan,2,450.0,4.76
39,0,Brooklyn,4,177.0,4.88
40,1,Brooklyn,1,35.0,4.5
41,0,Brooklyn,2,247.0,4.89
42,1,Brooklyn,2,169.0,5.0
43,0,Queens,2,107.0,4.63
44,1,Brooklyn,2,79.0,4.97
45,0,Brooklyn,4,125.0,4.47
46,0,Brooklyn,2,117.0,4.5
47,1,Brooklyn,8,350.0,4.89
48,1,Brooklyn,3,180.0,4.9
49,1,Brooklyn,2,159.0,4.9
50,0,Manhattan,2,109.0,4.69
51,0,Queens,4,250.0,4.7
52,1,Manhattan,4,150.0,5.0
53,0,Brooklyn,5,228.0,4.81
54,0,Brooklyn,3,99.0,5.0
55,1,Brooklyn,2,159.0,4.91
56,0,Manhattan,1,42.0,5.0
57,0,Queens,7,240.0,4.89
58,0,Queens,2,300.0,4.59
59,1,Manhattan,2,245.0,4.63
60,0,Staten Island,2,60.0,4.73
61,1,Bronx,2,99.0,4.78
62,0,Manhattan,1,40.0,4.54
63,0,Manhattan,1,39.0,5.0
64,1,Brooklyn,6,370.0,4.87
65,0,Queens,2,90.0,4.67
66,1,Manhattan,1,165.0,4.86
67,0,Brooklyn,5,489.0,4.83
68,0,Brooklyn,2,176.0,4.78
69,1,Manhattan,5,130.0,4.65
70,1,Queens,1,79.0,4.88
71,1,Brooklyn,1,56.0,4.8
72,1,Brooklyn,2,242.0,4.91
73,0,Manhattan,4,179.0,4.9
74,0,Manhattan,2,245.0,5.0
75,1,Manhattan,1,124.0,4.8
76,0,Brooklyn,2,82.0,4.76
77,0,Manhattan,2,220.0,4.75
78,0,Brooklyn,2,120.0,4.92
79,1,Brooklyn,6,369.0,4.0
80,0,Manhattan,2,52.0,5.0
81,1,Brooklyn,2,116.0,4.92
82,0,Brooklyn,2,130.0,4.64
83,0,Manhattan,3,202.0,3.0
84,1,Bronx,2,68.0,4.94
85,1,Manhattan,2,160.0,5.0
86,0,Manhattan,2,550.0,5.0
87,1,Brooklyn,2,100.0,4.5
88,0,Brooklyn,4,450.0,4.76
89,0,Brooklyn,2,900.0,4.7
90,0,Brooklyn,2,160.0,4.9
91,0,Manhattan,3,178.0,5.0
92,1,Manhattan,4,190.0,5.0
93,0,Brooklyn,2,150.0,5.0
94,0,Brooklyn,2,320.0,4.84
95,1,Manhattan,4,347.0,5.0
96,1,Manhattan,4,145.0,5.0
97,1,Brooklyn,2,97.0,4.8
98,1,Brooklyn,2,250.0,4.73
99,1,Manhattan,8,850.0,5.0
100,0,Manhattan,2,90.0,4.87
101,1,Brooklyn,2,85.0,5.0
102,0,Brooklyn,3,225.0,4.25
103,1,Manhattan,2,125.0,4.83
104,0,Manhattan,1,98.0,5.0
105,1,Manhattan,4,209.0,4.88
106,1,Brooklyn,3,125.0,4.91
107,1,Manhattan,4,140.0,5.0
108,0,Brooklyn,1,41.0,5.0
109,0,Brooklyn,1,39.0,4.5
110,0,Manhattan,8,328.0,3.0
111,1,Brooklyn,8,406.0,4.86
112,1,Manhattan,4,979.0,5.0
113,0,Manhattan,6,319.0,5.0
114,0,Manhattan,4,188.0,3.67
115,0,Manhattan,8,2000.0,4.89
116,1,Brooklyn,4,127.0,4.85
117,0,Bronx,2,130.0,5.0
118,1,Manhattan,1,124.0,4.57
119,0,Queens,1,100.0,4.97
120,0,Manhattan,4,388.0,4.58
121,0,Queens,2,125.0,4.78
122,0,Staten Island,2,300.0,5.0
123,0,Bronx,4,75.0,1.0
124,0,Queens,2,76.0,4.5
125,0,Bronx,2,92.0,4.75
126,1,Brooklyn,8,350.0,4.93
127,0,Bronx,5,154.0,4.57
128,0,Queens,2,200.0,5.0
129,0,Queens,2,110.0,5.0
130,0,Queens,4,89.0,4.79
131,0,Bronx,2,75.0,4.64
132,0,Queens,1,150.0,4.33
133,1,Manhattan,2,109.0,4.89
134,1,Queens,1,99.0,5.0
135,0,Manhattan,2,141.0,1.0
136,1,Manhattan,2,119.0,4.94
137,0,Brooklyn,1,44.0,4.0
138,1,Manhattan,1,62.0,5.0
139,0,Manhattan,2,250.0,4.68
140,1,Manhattan,2,85.0,4.96
141,1,Manhattan,2,93.0,4.86
142,0,Manhattan,2,85.0,4.33
143,0,Queens,4,225.0,4.88
144,0,Queens,2,149.0,4.62
145,0,Brooklyn,5,122.0,4.92
146,0,Brooklyn,2,113.0,4.52
147,0,Queens,2,75.0,4.73
148,0,Queens,4,150.0,5.0
149,0,Brooklyn,5,130.0,4.85
150,0,Brooklyn,2,69.0,4.47
151,0,Brooklyn,1,54.0,5.0
152,1,Brooklyn,2,700.0,4.87
153,1,Queens,1,49.0,4.65
154,0,Queens,6,95.0,4.8
155,0,Queens,2,140.0,4.85
156,0,Queens,6,170.0,4.78
157,1,Brooklyn,2,135.0,5.0
158,1,Bronx,5,146.0,4.86
159,0,Queens,1,49.0,4.57
160,0,Queens,2,250.0,4.67
161,1,Brooklyn,3,125.0,4.93
162,1,Brooklyn,1,75.0,5.0
163,1,Manhattan,1,114.0,5.0
164,1,Manhattan,6,1263.0,4.98
165,0,Brooklyn,2,154.0,4.65
166,1,Brooklyn,4,150.0,4.85
167,0,Brooklyn,2,300.0,5.0
168,0,Brooklyn,2,250.0,5.0
169,0,Brooklyn,1,232.0,4.92
170,1,Queens,2,346.0,4.7
171,0,Brooklyn,2,150.0,4.33
172,1,Manhattan,2,160.0,4.8
173,0,Brooklyn,4,120.0,4.87
174,1,Manhattan,6,626.0,4.88
175,1,Manhattan,1,60.0,4.5
176,1,Manhattan,2,150.0,4.89
177,1,Manhattan,2,95.0,4.96
178,0,Manhattan,4,165.0,4.55
179,0,Brooklyn,2,160.0,5.0
180,0,Manhattan,1,55.0,4.29
181,0,Brooklyn,1,110.0,4.59
182,0,Brooklyn,3,119.0,4.73
183,1,Manhattan,1,175.0,5.0
184,0,Manhattan,2,190.0,4.5
185,0,Manhattan,4,512.0,3.94
186,0,Brooklyn,1,40.0,5.0
187,0,Manhattan,6,1200.0,4.25
188,1,Manhattan,4,161.0,4.96
189,0,Brooklyn,2,431.0,4.9
190,0,Brooklyn,4,275.0,5.0
191,0,Brooklyn,2,289.0,4.71
192,1,Manhattan,4,165.0,4.92
193,1,Manhattan,1,90.0,4.7
194,0,Manhattan,2,625.0,4.77
195,1,Manhattan,2,280.0,4.91
196,1,Brooklyn,2,185.0,4.99
197,0,Brooklyn,2,437.0,4.59
198,0,Manhattan,3,306.0,4.94
199,1,Manhattan,2,50.0,4.85
200,1,Manhattan,1,50.0,4.75
201,1,Brooklyn,2,178.0,4.89
