listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
1,1,Brooklyn,1,45.00,4.83
2,0,Brooklyn,2,60.00,4
3,0,Brooklyn,1,150.00,5
4,0,Brooklyn,2,295.00,4.26
5,0,Brooklyn,4,495.00,5
6,0,Manhattan,2,58.00,5
7,0,Manhattan,1,75.00,4.17
8,0,Manhattan,3,100.00,4.85
9,0,Brooklyn,1,79.00,4.79
10,0,Manhattan,2,116.00,5
11,0,Manhattan,10,250.00,4.67
12,0,Brooklyn,1,231.00,5
13,1,Manhattan,4,225.00,4.86
14,0,Brooklyn,4,225.00,5
15,0,Manhattan,4,175.00,4.4
16,0,Manhattan,5,191.00,4
17,0,Manhattan,1,180.00,5
18,0,Brooklyn,2,46.00,5
19,0,Manhattan,1,149.00,2
20,1,Manhattan,2,119.00,4.78
21,1,Brooklyn,4,72.00,4.71
22,0,Brooklyn,2,56.00,3
23,0,Brooklyn,4,285.00,4.81
24,0,Brooklyn,2,160.00,4
25,0,Manhattan,2,125.00,4
26,0,Manhattan,2,75.00,4.58
27,0,Brooklyn,2,219.00,5
28,1,Manhattan,1,59.00,4.8
29,0,Queens,2,80.00,4.86
30,1,Queens,6,245.00,4.75
31,0,Bronx,2,80.00,4.8
32,0,Brooklyn,2,75.00,4.75
33,0,Bronx,2,49.00,4.47
34,0,Brooklyn,4,71.00,5
35,0,Manhattan,4,600.00,5
36,0,Manhattan,2,250.00,1
37,0,Brooklyn,2,80.00,5
38,1,Queens,1,43.00,5
39,0,Brooklyn,4,150.00,4
40,0,Queens,2,140.00,5
41,0,Brooklyn,3,65.00,4.8
42,0,Manhattan,2,100.00,4
43,0,Brooklyn,4,282.00,4.67
44,1,Brooklyn,2,146.00,5
45,1,Queens,1,124.00,4.7
46,0,Manhattan,2,65.00,4.5
47,0,Queens,2,100.00,5
48,0,Queens,1,75.00,5
49,0,Manhattan,2,150.00,4.55
50,1,Queens,4,329.00,4.98
51,0,Brooklyn,1,104.00,5
52,0,Queens,4,150.00,5
53,0,Brooklyn,2,70.00,5
54,0,Brooklyn,1,50.00,5
55,1,Manhattan,2,137.00,5
56,1,Bronx,2,175.00,4.43
57,1,Bronx,2,82.00,4.63
58,0,Bronx,2,59.00,4.26
59,0,Bronx,2,500.00,5
60,0,Queens,1,700.00,5
61,0,Bronx,2,70.00,4.22
62,0,Queens,2,73.00,5
63,0,Brooklyn,1,45.00,5
64,0,Queens,2,48.00,4.86
65,0,Manhattan,2,100.00,4.6
66,0,Staten Island,1,53.00,5
67,0,Bronx,2,100.00,5
68,0,Manhattan,3,160.00,4.77
69,1,Queens,8,250.00,5
70,1,Brooklyn,2,90.00,4.9
71,1,Brooklyn,2,159.00,5
72,0,Brooklyn,2,71.00,4.15
73,1,Brooklyn,2,120.00,4.88
74,0,Brooklyn,4,223.00,4.69
75,1,Manhattan,2,140.00,4.76
76,0,Manhattan,5,180.00,4.75
77,0,Manhattan,2,120.00,3.86
78,0,Brooklyn,2,79.00,4
79,0,Brooklyn,1,72.00,5
80,0,Brooklyn,2,37.00,5
81,0,Staten Island,2,69.00,4.24
82,0,Brooklyn,1,120.00,5
83,0,Manhattan,2,140.00,4.96
84,0,Brooklyn,1,66.00,5
85,0,Brooklyn,2,600.00,4.67
86,1,Brooklyn,3,165.00,5
87,1,Manhattan,5,1029.00,5
88,0,Queens,2,99.00,4.67
89,0,Brooklyn,2,220.00,4.6
90,0,Brooklyn,4,155.00,4.89
91,0,Queens,4,113.00,5
92,0,Brooklyn,2,80.00,5
93,0,Brooklyn,3,71.00,4.33
94,1,Brooklyn,2,68.00,5
95,0,Queens,2,37.00,4.25
96,0,Queens,1,90.00,5
97,1,Queens,6,263.00,4.87
98,0,Queens,2,35.00,5
99,0,Queens,1,34.00,5
100,0,Staten Island,2,70.00,5
101,0,Brooklyn,2,50.00,5
102,0,Manhattan,1,40.00,4
103,0,Brooklyn,2,55.00,4.75
104,1,Staten Island,4,140.00,5
105,0,Queens,2,85.00,4.85
106,1,Bronx,2,54.00,5
107,0,Queens,2,70.00,5
108,1,Brooklyn,2,90.00,4.6
109,0,Brooklyn,2,69.00,4
110,0,Brooklyn,4,99.00,3.6
111,0,Manhattan,1,55.00,5
112,0,Brooklyn,2,110.00,4.69
113,0,Manhattan,1,14.00,5
114,1,Queens,3,84.00,5
115,1,Bronx,2,90.00,4.8
116,0,Manhattan,3,75.00,4.7
117,0,Queens,1,49.00,5
118,1,Queens,8,480.00,4.89
119,1,Queens,6,181.00,5
120,1,Queens,1,62.00,4.96
121,1,Brooklyn,4,190.00,4.87
122,0,Brooklyn,1,48.00,4.67
123,1,Queens,1,50.00,4.98
124,1,Brooklyn,1,82.00,4.95
125,1,Brooklyn,6,752.00,5
126,0,Brooklyn,1,39.00,5
127,0,Brooklyn,3,179.00,5
128,0,Brooklyn,4,275.00,4.71
129,0,Brooklyn,2,75.00,4.84
130,0,Queens,2,69.00,4.9
131,0,Queens,6,95.00,4.73
132,1,Brooklyn,1,49.00,4.82
133,0,Brooklyn,2,83.00,3.75
134,0,Brooklyn,4,145.00,5
135,0,Brooklyn,1,150.00,4.5
136,0,Queens,2,89.00,4.62
137,1,Brooklyn,8,203.00,4.89
138,0,Queens,4,170.00,5
139,0,Brooklyn,2,250.00,4
140,1,Brooklyn,5,141.00,5
141,0,Brooklyn,1,45.00,2
142,0,Queens,2,43.00,4
143,0,Brooklyn,2,120.00,4.55
144,0,Queens,2,85.00,4.6
145,0,Manhattan,8,203.00,4
146,0,Brooklyn,10,295.00,4.84
147,0,Queens,1,50.00,4.8
148,0,Queens,1,94.00,5
149,0,Bronx,3,183.00,4.71
150,1,Brooklyn,4,160.00,4.82
151,0,Queens,4,115.00,5
152,1,Brooklyn,6,206.00,4.91
153,1,Brooklyn,4,209.00,4.95
154,0,Queens,1,65.00,4
155,1,Queens,2,130.00,5
156,0,Queens,5,264.00,4.54
157,1,Queens,2,55.00,5
158,0,Brooklyn,4,150.00,3.4
159,0,Queens,1,50.00,5
160,1,Queens,2,99.00,5
161,0,Brooklyn,2,40.00,4.62
